Strategy,Cumulative Return,Sharpe Ratio,Max Drawdown
Baseline LR,0.4138075884217922,1.1206843215675029,-0.1969797543655546
Random Forest,0.6034555944180817,1.3694675724807157,-0.18755240821113928
XGBoost,0.3210083130637238,0.9473271241959552,-0.17635842198427776
Buy & Hold,0.5255887038874816,1.204047528381129,-0.1875524082111394
