Model,Accuracy_train,ROC-AUC_train,Accuracy_val,ROC-AUC_val,Accuracy_test,ROC-AUC_test
Logistic Regression,0.572041473006793,0.5506094148373857,0.5158597662771286,0.5058463872896862,0.5683333333333334,0.4896795776250512
Random Forest,0.6617804790847337,0.9078477706610285,0.5175292153589316,0.5043066898737002,0.5733333333333334,0.5088298211278504
XGBoost,0.914193779048981,0.9866695686420829,0.48414023372287146,0.48726960324898466,0.5083333333333333,0.5133585180465159
RF+XGB Ensemble,0.8641401501608866,0.9844060278175072,0.4941569282136895,0.48960146382826797,0.5216666666666666,0.5135747121205225
